Code ERP,PF rapide,PF lente,Actif,Lent avec %
2C1,,2C LOG,oui,non
CHA,CHAPO,CHAPO LENT,oui,oui
SCY,ST CYR,ST CYR LENT,oui,non
NME,SUD LOG,SUD LOG LENT,oui,oui
TLS,TOULOUSE,TOULOUSE LENT,oui,oui
SMT,SAMATERRA,SAMATERRA LENT,oui,oui
